timestamp,device_timestamp,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,T1_board,T2_board,mean,setpoint,P,I,D
2026-06-07T17:16:55.399149,261985855,38.93,39.68,40.12,40.15,40.4,40.49,40.33,40.02,33.12,34.61,39.99,40.0,2.44,1670.72,0.0
2026-06-07T17:16:56.399161,261986890,38.96,39.68,40.12,40.15,40.4,40.49,40.33,39.99,33.1,34.6,39.99,40.0,2.44,1670.82,0.0
2026-06-07T17:16:57.399230,261987925,38.96,39.65,40.15,40.21,40.37,40.49,40.33,40.05,33.09,34.59,40.02,40.0,-5.38,1670.6,0.0
2026-06-07T17:16:58.385669,261988961,38.99,39.65,40.12,40.18,40.4,40.49,40.37,40.05,33.09,34.59,40.02,40.0,-5.38,1670.39,0.0
2026-06-07T17:16:59.399060,261989996,38.96,39.68,40.12,40.15,40.4,40.46,40.33,40.02,33.09,34.6,39.99,40.0,2.44,1670.49,0.0
2026-06-07T17:17:00.399298,261991031,38.99,39.65,40.15,40.15,40.37,40.46,40.33,40.05,33.1,34.58,39.99,40.0,2.44,1670.58,0.0
2026-06-07T17:17:01.400105,261992066,38.96,39.68,40.12,40.18,40.4,40.49,40.33,40.02,33.1,34.58,40.02,40.0,-5.38,1670.37,0.0
2026-06-07T17:17:02.398678,261993101,38.93,39.68,40.12,40.15,40.37,40.49,40.33,39.99,33.09,34.6,39.99,40.0,2.44,1670.47,0.0
2026-06-07T17:17:03.386942,261994136,38.96,39.68,40.15,40.18,40.43,40.46,40.33,39.99,33.1,34.6,40.02,40.0,-5.38,1670.25,0.0
2026-06-07T17:17:04.399049,261995170,38.96,39.68,40.12,40.18,40.4,40.46,40.33,40.02,33.09,34.6,39.99,40.0,2.44,1670.35,0.0
2026-06-07T17:17:05.399019,261996205,38.96,39.68,40.15,40.18,40.4,40.46,40.33,40.02,33.12,34.6,40.02,40.0,-5.38,1670.13,0.0
2026-06-07T17:17:06.399271,261997243,38.96,39.68,40.15,40.15,40.37,40.49,40.33,40.05,33.1,34.58,40.02,40.0,-5.38,1669.92,0.0
2026-06-07T17:17:07.386908,261998279,38.96,39.65,40.12,40.15,40.37,40.52,40.37,40.05,33.12,34.59,40.02,40.0,-5.38,1669.7,0.0
2026-06-07T17:17:08.385750,261999314,38.96,39.68,40.12,40.15,40.4,40.49,40.33,40.02,33.1,34.59,39.99,40.0,2.44,1669.8,0.0
2026-06-07T17:17:09.385842,262000349,38.96,39.65,40.12,40.15,40.4,40.49,40.33,39.99,33.11,34.6,39.99,40.0,2.44,1669.9,0.0
2026-06-07T17:17:10.414912,262001384,38.96,39.68,40.12,40.18,40.4,40.49,40.33,40.02,33.1,34.61,40.02,40.0,-5.38,1669.68,0.0
2026-06-07T17:17:11.399496,262002419,38.96,39.65,40.12,40.15,40.4,40.46,40.33,40.02,33.11,34.62,39.99,40.0,2.44,1669.78,0.0
2026-06-07T17:17:12.387009,262003455,38.99,39.68,40.12,40.15,40.37,40.46,40.33,40.05,33.12,34.59,39.99,40.0,2.44,1669.88,0.0
2026-06-07T17:17:13.400386,262004490,38.96,39.65,40.12,40.18,40.37,40.49,40.3,39.99,33.12,34.6,39.99,40.0,2.44,1669.97,0.0
2026-06-07T17:17:14.385849,262005524,38.96,39.65,40.15,40.15,40.4,40.49,40.33,39.99,33.11,34.62,39.99,40.0,2.44,1670.07,0.0
2026-06-07T17:17:15.399000,262006559,38.93,39.68,40.12,40.15,40.4,40.49,40.33,40.02,33.11,34.61,39.99,40.0,2.44,1670.17,0.0
2026-06-07T17:17:16.399722,262007594,38.99,39.65,40.12,40.21,40.4,40.49,40.37,40.02,33.12,34.6,40.02,40.0,-5.38,1669.95,0.0
2026-06-07T17:17:17.385432,262007594,38.99,39.65,40.12,40.21,40.4,40.49,40.37,40.02,33.11,34.6,40.02,40.0,-5.38,1669.95,0.0
2026-06-07T17:17:18.399304,262008629,38.96,39.65,40.12,40.18,40.37,40.46,40.3,39.99,33.11,34.6,39.99,40.0,2.44,1670.05,0.0
2026-06-07T17:17:19.415204,262009666,38.99,39.68,40.15,40.18,40.4,40.49,40.33,40.02,33.11,34.61,40.02,40.0,-5.38,1669.84,0.0
2026-06-07T17:17:20.385876,262010703,38.96,39.65,40.12,40.18,40.37,40.46,40.37,40.02,33.09,34.62,39.99,40.0,2.44,1669.93,0.0
2026-06-07T17:17:21.398998,262011739,38.96,39.68,40.12,40.18,40.4,40.49,40.3,40.02,33.12,34.6,39.99,40.0,2.44,1670.03,0.0
2026-06-07T17:17:22.400494,262012774,39.02,39.65,40.15,40.21,40.4,40.46,40.37,40.02,33.12,34.59,40.02,40.0,-5.38,1669.82,0.0
2026-06-07T17:17:23.386978,262013809,38.96,39.68,40.15,40.18,40.4,40.49,40.33,40.02,33.12,34.61,40.02,40.0,-5.38,1669.6,0.0
2026-06-07T17:17:24.398997,262014844,38.99,39.68,40.12,40.18,40.37,40.49,40.33,39.99,33.12,34.62,39.99,40.0,2.44,1669.7,0.0
2026-06-07T17:17:25.385753,262015880,38.99,39.65,40.12,40.15,40.37,40.46,40.33,40.05,33.11,34.6,39.99,40.0,2.44,1669.8,0.0
2026-06-07T17:17:26.385637,262016915,38.96,39.68,40.15,40.21,40.37,40.46,40.33,40.02,33.1,34.61,40.02,40.0,-5.38,1669.58,0.0
2026-06-07T17:17:27.400993,262017956,38.96,39.68,40.15,40.18,40.37,40.46,40.33,40.02,33.11,34.62,39.99,40.0,2.44,1669.68,0.0
2026-06-07T17:17:28.416028,262018992,38.93,39.65,40.15,40.18,40.4,40.46,40.33,40.05,33.11,34.6,39.99,40.0,2.44,1669.78,0.0
2026-06-07T17:17:29.385840,262020028,38.93,39.68,40.15,40.18,40.4,40.49,40.33,40.02,33.11,34.6,40.02,40.0,-5.38,1669.56,0.0
2026-06-07T17:17:30.399350,262021063,38.99,39.68,40.15,40.18,40.4,40.46,40.37,40.02,33.08,34.61,40.02,40.0,-5.38,1669.35,0.0
2026-06-07T17:17:31.386938,262022098,38.96,39.65,40.15,40.15,40.43,40.49,40.3,40.02,33.11,34.6,39.99,40.0,2.44,1669.44,0.0
2026-06-07T17:17:32.386958,262023133,38.96,39.65,40.15,40.18,40.4,40.46,40.37,40.02,33.09,34.61,40.02,40.0,-5.38,1669.23,0.0
2026-06-07T17:17:33.386925,262024167,38.93,39.68,40.12,40.18,40.37,40.46,40.33,40.02,33.1,34.61,39.99,40.0,2.44,1669.33,0.0
2026-06-07T17:17:34.386907,262025203,38.96,39.68,40.12,40.18,40.4,40.46,40.33,39.99,33.1,34.61,39.99,40.0,2.44,1669.42,0.0
2026-06-07T17:17:35.399133,262026238,38.96,39.68,40.12,40.12,40.4,40.46,40.33,40.02,33.09,34.59,39.99,40.0,2.44,1669.52,0.0
2026-06-07T17:17:36.399239,262027276,38.96,39.68,40.15,40.15,40.37,40.49,40.33,40.02,33.09,34.61,39.99,40.0,2.44,1669.62,0.0
2026-06-07T17:17:37.416205,262028310,38.96,39.68,40.12,40.15,40.37,40.46,40.33,40.02,33.09,34.6,39.99,40.0,2.44,1669.72,0.0
2026-06-07T17:17:38.400335,262029345,38.99,39.68,40.15,40.21,40.4,40.46,40.3,39.99,33.09,34.62,40.02,40.0,-5.38,1669.5,0.0
2026-06-07T17:17:39.386829,262030382,38.96,39.68,40.08,40.18,40.4,40.46,40.3,40.05,33.09,34.6,39.99,40.0,2.44,1669.6,0.0
2026-06-07T17:17:40.386888,262031420,38.96,39.68,40.12,40.18,40.4,40.46,40.33,40.02,33.08,34.62,39.99,40.0,2.44,1669.7,0.0
2026-06-07T17:17:41.400791,262032455,38.99,39.68,40.12,40.15,40.4,40.46,40.3,40.02,33.08,34.61,39.99,40.0,2.44,1669.79,0.0
2026-06-07T17:17:42.401770,262033491,38.96,39.71,40.12,40.21,40.37,40.49,40.33,39.99,33.09,34.59,40.02,40.0,-5.38,1669.58,0.0
2026-06-07T17:17:43.385847,262034525,38.96,39.68,40.12,40.18,40.4,40.46,40.3,39.99,33.09,34.61,39.99,40.0,2.44,1669.68,0.0
